order_id,customer_id,order_date,product_category,amount,payment_method
1,577,2024-04-05,Books,144.15,PayPal
2,176,2024-05-23,Fitness,71.08,PayPal
3,873,2024-04-15,Home,555.76,Debit Card
4,660,2025-09-25,Home,156.05,Debit Card
5,459,2025-11-08,Books,684.5,Credit Card
6,869,2025-12-19,Electronics,931.11,PayPal
7,787,2025-11-02,Clothing,248.06,PayPal
8,897,2024-01-29,Home,480.05,Credit Card
9,63,2024-01-31,Fitness,51.39,PayPal
10,967,2024-12-20,Fitness,58.74,Credit Card
11,812,2024-07-10,Books,422.48,PayPal
12,468,2024-07-12,Books,547.2,PayPal
13,979,2025-10-01,Home,281.16,Debit Card
14,382,2024-06-28,Clothing,277.48,Debit Card
15,325,2025-04-17,Books,735.32,Credit Card
16,52,2024-05-11,Electronics,476.83,PayPal
17,192,2024-10-04,Electronics,692.94,Debit Card
18,223,2024-02-03,Fitness,42.48,Debit Card
19,447,2025-03-15,Home,225.53,Credit Card
20,309,2025-12-16,Home,807.45,Credit Card
21,186,2025-04-25,Electronics,960.52,PayPal
22,862,2025-03-29,Books,409.79,PayPal
23,216,2025-02-06,Fitness,439.94,PayPal
24,654,2025-08-27,Fitness,207.95,PayPal
25,834,2025-02-14,Home,586.88,Credit Card
26,907,2024-03-23,Electronics,741.57,PayPal
27,593,2025-10-25,Fitness,237.37,Credit Card
28,496,2024-12-16,Clothing,961.24,Debit Card
29,930,2025-03-02,Fitness,614.7,Debit Card
30,39,2025-11-24,Electronics,50.48,Credit Card
31,642,2024-02-10,Electronics,747.04,PayPal
32,183,2025-02-24,Clothing,941.27,Credit Card
33,7,2025-11-28,Clothing,440.38,Debit Card
34,717,2024-10-06,Books,472.37,PayPal
35,370,2024-11-30,Fitness,968.59,PayPal
36,179,2025-03-24,Fitness,228.04,Debit Card
37,670,2025-06-08,Electronics,863.82,Debit Card
38,373,2025-01-12,Home,964.44,Debit Card
39,223,2024-12-10,Electronics,446.75,PayPal
40,73,2024-05-05,Fitness,185.46,Credit Card
41,834,2025-03-06,Electronics,203.58,Credit Card
42,440,2025-12-23,Home,791.25,PayPal
43,187,2025-04-28,Books,496.26,PayPal
44,388,2024-06-04,Home,336.76,Credit Card
45,469,2025-04-13,Clothing,281.85,Credit Card
46,420,2025-06-26,Clothing,366.78,Debit Card
47,495,2024-01-18,Fitness,832.11,Debit Card
48,522,2025-02-10,Clothing,132.55,PayPal
49,453,2025-11-01,Home,741.79,Credit Card
50,181,2025-03-26,Fitness,182.54,Credit Card
51,678,2025-02-14,Electronics,292.67,PayPal
52,752,2025-07-29,Books,133.5,Debit Card
53,974,2024-01-12,Books,690.76,PayPal
54,227,2024-08-27,Books,803.82,Credit Card
55,90,2024-05-09,Electronics,897.78,Debit Card
56,550,2024-04-10,Electronics,332.24,PayPal
57,385,2024-02-11,Books,852.93,PayPal
58,395,2024-03-17,Home,208.34,Debit Card
59,578,2025-11-04,Electronics,209.64,Debit Card
60,687,2025-07-01,Clothing,186.25,PayPal
61,1,2025-12-11,Home,166.75,PayPal
62,162,2025-05-04,Books,839.11,PayPal
63,169,2025-11-05,Clothing,85.92,Credit Card
64,700,2024-09-26,Books,853.18,PayPal
65,13,2024-08-01,Home,935.64,Debit Card
66,655,2025-10-08,Clothing,346.27,PayPal
67,847,2024-10-04,Home,98.43,Debit Card
68,24,2025-07-01,Books,20.91,PayPal
69,775,2024-02-17,Electronics,855.54,Credit Card
70,998,2025-11-22,Books,886.51,Credit Card
71,228,2024-01-14,Clothing,501.5,PayPal
72,517,2024-05-28,Clothing,192.92,PayPal
73,274,2024-11-27,Home,782.43,Debit Card
74,80,2024-04-10,Electronics,559.86,Debit Card
75,800,2025-12-22,Clothing,606.52,Credit Card
76,319,2025-03-08,Home,847.4,Credit Card
77,144,2024-07-15,Fitness,158.89,Debit Card
78,232,2024-08-08,Home,778.2,PayPal
